session,budget_year,expenditure_area,expenditure_area_name,actor,proposal_type,amount_msek,deviation_msek,budget_share_pct,document_id,source_url
2016/17,2017,27,Avgiften till Europeiska unionen,SD,party_motion,29586,0,3.1721,H401FiU1,https://data.riksdagen.se/dokument/H401FiU1.html
2017/18,2018,1,Rikets styrelse,C,party_motion,14108,-423,1.932,H501FiU1,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,2,Samhällsekonomi och finansförvaltning,C,party_motion,16274,-12,2.2286,H501FiU1,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,3,"Skatt, tull och exekution",C,party_motion,11257,-142,1.5416,H501FiU1,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,4,Rättsväsendet,C,party_motion,46427,650,6.3578,H501FiU1,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,5,Internationell samverkan,C,party_motion,2020,11,0.2766,H501FiU1,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,6,Försvar och samhällets krisberedskap,C,party_motion,53836,0,7.3724,H501FiU1,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,7,Internationellt bistånd,C,party_motion,42985,0,5.8865,H501FiU1,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,8,Migration,C,party_motion,15703,-45,2.1504,H501FiU1,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,9,"Hälsovård, sjukvård och social omsorg",C,party_motion,78244,548,10.7149,H501FiU1,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,10,Ekonomisk trygghet vid sjukdom och,C,party_motion,103389,774,14.1584,H501FiU1,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,11,Ekonomisk trygghet vid ålderdom,C,party_motion,34781,145,4.763,H501FiU1,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,12,Ekonomisk trygghet för familjer och barn,C,party_motion,93283,-1303,12.7744,H501FiU1,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,13,Jämställdhet och nyanlända invandrares etablering,C,party_motion,25195,-405,3.4503,H501FiU1,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,14,Arbetsmarknad och arbetsliv,C,party_motion,62089,-11995,8.5026,H501FiU1,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,15,Studiestöd,C,party_motion,22831,-1522,3.1265,H501FiU1,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,16,Utbildning och universitetsforskning,C,party_motion,74235,-3731,10.1659,H501FiU1,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,17,"Kultur, medier, trossamfund och fritid",C,party_motion,14978,-902,2.0511,H501FiU1,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,18,"Samhällsplanering, bostadsförsörjning och byggande samt",C,party_motion,2895,-4057,0.3964,H501FiU1,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,19,Regional tillväxt,C,party_motion,3922,0,0.5371,H501FiU1,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,20,Allmän miljö- och naturvård,C,party_motion,8343,-2430,1.1425,H501FiU1,https://data.riksdagen.se/dokument/H501FiU1.html
2017/18,2018,21,Energi,C,party_motion,3438,-150,0.4708,H501FiU1,https://data.riksdagen.se/dokument/H501FiU1.html
