session,budget_year,expenditure_area,expenditure_area_name,actor,proposal_type,proposed_msek,approved_budget_msek,amendments_msek,outturn_msek,outturn_minus_proposal_msek,proposal_source_url,outturn_source_url
2016/17,2017,9,"Hälsovård, sjukvård och social omsorg",L,party_motion,67974,68496.16400000002,1948.0,67411.13500985001,-562.8649901499884,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,10,Ekonomisk trygghet vid sjukdom och funktionsnedsättning,L,party_motion,102095,107051.80500000001,120.0,101868.16484805,-226.83515194999927,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,11,Ekonomisk trygghet vid ålderdom,L,party_motion,35073,34774.450999999994,0.0,34657.67373785,-415.32626215000346,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,12,Ekonomisk trygghet för familjer och barn,L,party_motion,89496,89491.39799999999,-104.563,88659.9255322,-836.0744678000046,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,13,Jämställdhet och nyanlända invandrares etablering,L,party_motion,33229,26255.493000000002,22.0,18575.778093289995,-14653.221906710005,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,14,Arbetsmarknad och arbetsliv,L,party_motion,69105,82036.40100000003,60.5,76914.21546636001,7809.215466360009,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,15,Studiestöd,L,party_motion,21153,22433.998999999996,0.0,19670.73538058,-1482.2646194199988,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,16,Utbildning och universitetsforskning,L,party_motion,71744,72386.70700000001,676.45,71104.11209991004,-639.8879000899615,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,17,"Kultur, medier, trossamfund och fritid",L,party_motion,13923,14521.253999999999,0.0,14475.495515710001,552.4955157100012,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
2016/17,2017,18,"Samhällsplanering, bostadsförsörjning och byggande samt konsumentpolitik",L,party_motion,1172,6764.5599999999995,40.0,3802.6354355000003,2630.6354355000003,https://data.riksdagen.se/dokument/H401FiU1.html,https://www.statskontoret.se/analys-och-statistik/oppna-data/arsutfall/
